Pavarde        Vardas         Galutinis (Vid.)
Martynas       Kairys             8.46
Aurimas        Urbonas            6.31
Ignas          Stankevičius       6.26
Tomas          Kundrotas          5.94
Giedrius       Sakalauskas        6.51
Deividas       Kundrotas          5.60
Mantas         Dapkus             7.00
Dominykas      Šimkus             5.80
Martynas       Kairys             6.94
Laurynas       Vaitkus            6.80
Ignas          Balsys             7.94
Lukas          Norkus             6.57
Arnas          Rutkauskas         5.66
Rokas          Žukauskas          6.09
Antanas        Balčiūnas          6.34
Martynas       Misevičius         7.60
Arvydas        Sakalauskas        5.94
Mantas         Stankevičius       5.54
Vilius         Kairys             5.94
Lukas          Rutkauskas         5.29
Eimantas       Šimkus             7.77
Aurimas        Kundrotas          8.29
Šarūnas        Balsys             6.89
Simonas        Vaičiūnas          5.97
Edgaras        Kazlauskas         5.00
Dovydas        Petraitis          6.74
Mindaugas      Rutkauskas         7.23
Arvydas        Rutkauskas         7.51
Gabrielius     Balčiūnas          7.94
Edgaras        Navickas           7.89
Laurynas       Balčiūnas          6.57
Mindaugas      Petraitis          6.91
Gabrielius     Balsys             5.06
Martynas       Rutkauskas         5.83
Mindaugas      Balčiūnas          5.51
Dominykas      Kundrotas          5.11
Aurimas        Balsys             5.20
Laurynas       Kazlauskas         5.94
Eimantas       Navickas           7.00
Arvydas        Jasinskas          6.57
Aurimas        Sakalauskas        6.49
Eimantas       Norkus             6.14
Šarūnas        Stankevičius       5.77
Mindaugas      Šimkus             5.14
Ignas          Balčiūnas          7.43
Simonas        Sabonis            7.69
Mindaugas      Zelvys             5.89
Dominykas      Jasinskas          6.03
Rokas          Pocius             8.17
Šarūnas        Pocius             5.94
Ignas          Petrauskas         5.74
Ignas          Balčiūnas          5.14
Lukas          Morkūnas           5.09
Ernestas       Dapkus             6.69
Dovydas        Urbonas            6.54
Edgaras        Vaitkus            7.46
Laurynas       Norkus             7.40
Arnas          Sabonis            5.40
Dominykas      Jasinskas          5.46
Aurimas        Bagdonas           8.14
Jonas          Žukauskas          7.46
Ernestas       Misevičius         6.54
Saulius        Petraitis          7.80
Edgaras        Navickas           7.89
Šarūnas        Jankauskas         5.80
Deividas       Vaitkus            7.40
Eimantas       Rutkauskas         6.37
Aurimas        Urbonas            5.46
Jonas          Navickas           6.43
Deividas       Stankevičius       6.89
Deividas       Jasinskas          7.03
Edgaras        Balčiūnas          8.14
Ernestas       Juodka             5.80
Paulius        Urbonas            7.83
Paulius        Bagdonas           7.20
Ignas          Stankevičius       8.00
Rokas          Morkūnas           7.46
Vytautas       Balsys             6.29
Mantas         Urbonas            6.09
Jonas          Paulauskas         5.66
Paulius        Žukauskas          7.69
Mindaugas      Butkus             5.03
Dovydas        Žukauskas          8.29
Dovydas        Stankevičius       7.74
Simonas        Petrauskas         5.11
Antanas        Balsys             7.31
Deividas       Bagdonas           7.80
Dominykas      Butkus             6.23
Ignas          Dapkus             8.23
Saulius        Misevičius         6.86
Laurynas       Matulis            7.17
Rokas          Sabonis            6.86
Antanas        Navickas           7.11
Arvydas        Kundrotas          6.63
Arvydas        Petrauskas         7.20
Aurimas        Sabonis            8.11
Ignas          Šimkus             6.66
Ignas          Zelvys             5.51
Giedrius       Norkus             6.66
Rokas          Petraitis          5.26
Laurynas       Stankevičius       8.03
Edgaras        Norkus             5.46
Rokas          Vaičiūnas          7.51
Deividas       Pocius             5.97
Edgaras        Misevičius         5.00
Gabrielius     Jankauskas         7.37
Mindaugas      Norkus             6.51
Vytautas       Stankevičius       8.26
Karolis        Sakalauskas        6.37
Rokas          Zelvys             6.43
Arnas          Dapkus             5.60
Dominykas      Stankevičius       8.40
Saulius        Kazlauskas         5.74
Vilius         Bagdonas           6.37
Ernestas       Sabonis            6.23
Dominykas      Sakalauskas        7.14
Arvydas        Juodka             6.77
Aurimas        Bagdonas           5.69
Eimantas       Petraitis          6.06
Andrius        Bagdonas           5.14
Lukas          Morkūnas           5.91
Jonas          Rutkauskas         6.77
Deividas       Norkus             6.54
Mindaugas      Dapkus             5.71
Paulius        Pocius             7.60
Justinas       Butkus             7.09
Rokas          Balsys             6.91
Aurimas        Kazlauskas         7.34
Dovydas        Norkus             8.06
Lukas          Urbonas            5.34
Simonas        Jankauskas         5.14
Gabrielius     Urbonas            5.40
Aurimas        Norkus             5.20
Arnas          Misevičius         6.83
Simonas        Kundrotas          6.83
Lukas          Stankevičius       6.71
Aurimas        Jankauskas         5.11
Karolis        Žukauskas          7.89
Vytautas       Sabonis            5.34
Jonas          Juodka             7.00
Lukas          Vaičiūnas          5.74
Justinas       Žukauskas          8.00
Dominykas      Sakalauskas        5.89
Giedrius       Šimkus             7.91
Ignas          Dapkus             7.54
Antanas        Zelvys             8.00
Deividas       Misevičius         5.37
Ernestas       Pocius             6.60
Vilius         Pocius             5.91
Arvydas        Dapkus             7.89
Simonas        Kairys             8.06
Gabrielius     Kundrotas          6.23
Karolis        Paulauskas         7.57
Aurimas        Balčiūnas          6.54
Paulius        Kundrotas          7.23
Vytautas       Urbonas            8.23
Arvydas        Paulauskas         7.31
Antanas        Balčiūnas          5.97
Vilius         Misevičius         7.94
Karolis        Morkūnas           6.29
Eimantas       Misevičius         7.57
Arnas          Žukauskas          7.80
Dominykas      Sakalauskas        6.09
Vytautas       Pocius             7.23
Eimantas       Navickas           7.86
Antanas        Norkus             6.57
Laurynas       Šimkus             8.29
Vilius         Stankevičius       5.46
Karolis        Žukauskas          7.60
Gabrielius     Jasinskas          5.34
Rokas          Petrauskas         7.51
Aurimas        Šimkus             6.37
Giedrius       Butkus             6.03
Rokas          Navickas           7.17
Ernestas       Butkus             6.91
Saulius        Zelvys             5.71
Gabrielius     Norkus             5.66
Lukas          Sabonis            6.14
Karolis        Petrauskas         7.74
Karolis        Pocius             7.91
Dovydas        Šimkus             8.00
Edgaras        Kundrotas          6.66
Dominykas      Rutkauskas         7.14
Mantas         Kairys             7.17
Vilius         Kundrotas          6.94
Gabrielius     Juodka             8.69
Deividas       Balčiūnas          7.11
Tomas          Dapkus             8.29
Mantas         Zelvys             6.31
Aurimas        Petrauskas         6.20
Paulius        Sakalauskas        8.46
Justinas       Balčiūnas          6.57
Deividas       Sakalauskas        7.91
Jonas          Bagdonas           6.00
Jonas          Balsys             6.77
Tomas          Vaičiūnas          6.97
Mindaugas      Rutkauskas         5.69
Rokas          Kazlauskas         8.86
Arnas          Navickas           6.57
Edgaras        Urbonas            6.09
Deividas       Jankauskas         8.09
Vilius         Misevičius         7.83
Martynas       Šimkus             7.69
Rokas          Zelvys             7.31
Simonas        Vaitkus            5.86
Jonas          Zelvys             6.54
Laurynas       Pocius             5.34
Vytautas       Kazlauskas         6.86
Jonas          Dapkus             7.91
Simonas        Matulis            8.14
Aurimas        Kazlauskas         5.20
Rokas          Vaitkus            6.80
Karolis        Dapkus             7.46
Laurynas       Petrauskas         5.20
Dominykas      Matulis            5.20
Andrius        Matulis            5.31
Simonas        Petrauskas         7.77
Edgaras        Vaičiūnas          6.80
Lukas          Juodka             5.49
Antanas        Petraitis          5.97
Lukas          Sakalauskas        8.46
Mindaugas      Jasinskas          5.37
Justinas       Petraitis          7.83
Aurimas        Žukauskas          6.51
Arnas          Stankevičius       6.63
Justinas       Žukauskas          7.89
Antanas        Urbonas            7.77
Dominykas      Kundrotas          7.60
Saulius        Morkūnas           5.83
Ignas          Urbonas            6.46
Eimantas       Jasinskas          9.03
Justinas       Sabonis            6.49
Arnas          Balsys             6.80
Karolis        Vaitkus            8.09
Karolis        Kundrotas          6.14
Mindaugas      Zelvys             7.89
Deividas       Petrauskas         5.91
Mantas         Petraitis          8.03
Arvydas        Rutkauskas         6.97
Ernestas       Petraitis          6.43
Simonas        Vaičiūnas          6.11
Jonas          Kairys             5.91
Mindaugas      Vaitkus            5.83
Mindaugas      Kairys             5.40
Edgaras        Sakalauskas        6.37
Vilius         Juodka             5.20
Tomas          Balčiūnas          7.54
Dominykas      Kairys             6.00
Vilius         Pocius             8.69
Vytautas       Vaičiūnas          6.26
Dominykas      Morkūnas           8.23
Deividas       Bagdonas           8.17
Andrius        Vaičiūnas          5.60
Edgaras        Vaičiūnas          6.91
Deividas       Vaitkus            5.74
Rokas          Juodka             7.34
Šarūnas        Petraitis          7.74
Justinas       Urbonas            7.34
Mindaugas      Butkus             5.11
Karolis        Sabonis            8.29
Paulius        Bagdonas           6.43
Arvydas        Rutkauskas         7.69
Mindaugas      Zelvys             7.29
Paulius        Matulis            6.20
Jonas          Navickas           7.63
Rokas          Zelvys             5.14
Paulius        Misevičius         8.51
