Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Saulius Paulauskas 8 2 9 9 8 9 4 2 10 1 8 3 8 1 4 5
Simonas Vaitkus 2 7 2 3 9 7 8 5 4 5 7 1 3 10 10 9
Ignas Kairys 4 9 2 6 8 4 3 9 7 2 4 8 4 3 7 9
Lukas Butkus 8 1 6 1 9 9 6 7 6 1 7 2 1 3 2 2
Eimantas Juodka 8 1 2 4 10 4 10 6 10 8 8 8 1 5 2 9
Rokas Jasinskas 7 5 5 2 4 8 8 8 6 6 1 6 6 1 6 7
Karolis Misevičius 2 8 5 6 1 2 10 2 2 9 3 10 1 7 1 1
Rokas Urbonas 7 2 8 7 1 6 3 5 3 8 3 1 5 10 9 2
Vilius Kundrotas 2 1 4 10 9 4 9 2 2 5 1 7 7 1 2 10
Dovydas Stankevičius 8 10 7 6 5 6 3 1 3 1 1 6 4 1 5 6
Gabrielius Juodka 6 3 1 8 7 10 1 9 3 1 2 9 3 3 6 6
Justinas Sabonis 5 7 6 9 2 6 5 5 1 8 9 4 4 10 3 6
Arvydas Bagdonas 8 7 4 10 8 4 6 5 2 1 8 7 8 10 4 2
Laurynas Norkus 9 7 5 6 5 9 9 7 1 2 3 5 4 6 7 1
Mindaugas Jankauskas 5 2 5 9 8 10 5 7 7 5 1 10 5 7 8 4
Vilius Šimkus 10 6 2 5 5 5 9 9 1 8 5 7 6 1 7 3
Mantas Balčiūnas 3 10 8 1 1 8 9 10 1 4 10 9 10 1 7 4
Rokas Norkus 7 7 8 4 7 4 10 9 5 5 5 7 6 8 9 1
Lukas Vaičiūnas 1 1 5 3 4 6 6 7 7 7 1 9 1 1 3 4
Ignas Sakalauskas 5 8 9 4 2 5 4 6 5 8 3 5 1 1 9 7
Aurimas Jankauskas 7 9 5 7 9 10 9 2 6 2 6 2 4 9 4 10
Paulius Urbonas 10 10 8 4 4 4 9 10 5 1 1 7 8 3 9 5
Lukas Žukauskas 9 2 7 6 7 3 8 5 9 2 4 5 1 7 4 1
Jonas Juodka 10 7 1 3 5 6 1 2 2 7 9 3 3 6 3 6
Arvydas Šimkus 9 2 8 9 6 2 5 2 7 8 10 9 2 8 6 2
Arvydas Zelvys 8 3 4 9 8 2 3 4 1 8 7 3 5 8 1 7
Mindaugas Vaitkus 5 5 4 2 3 6 6 4 1 7 4 7 2 1 2 10
Simonas Balčiūnas 3 7 8 7 4 3 3 6 8 6 8 9 9 8 8 10
Vilius Šimkus 3 1 3 3 5 3 10 10 5 2 8 6 6 3 8 9
Šarūnas Kairys 8 6 9 9 6 4 5 3 7 4 5 1 2 4 5 10
Mindaugas Balčiūnas 2 4 6 7 1 8 7 4 7 9 10 8 8 4 5 2
Jonas Matulis 7 1 1 8 6 1 4 9 8 6 7 1 7 7 9 9
Arnas Kundrotas 1 3 5 3 2 8 8 9 10 7 2 4 4 4 2 2
Rokas Misevičius 1 1 5 10 9 7 3 5 2 6 9 2 2 5 5 5
Saulius Stankevičius 8 7 5 8 8 3 7 9 6 8 7 9 5 8 9 3
Tomas Petrauskas 5 10 9 10 1 2 2 10 5 10 10 2 7 9 9 9
Vytautas Sabonis 6 8 8 8 5 3 8 3 3 7 6 4 7 4 2 2
Ignas Norkus 4 2 8 5 3 4 2 9 3 3 1 2 6 7 2 10
Saulius Misevičius 10 10 1 2 2 3 5 1 7 5 2 10 3 7 8 5
Simonas Norkus 8 1 2 2 7 1 10 7 1 1 8 6 1 6 7 6
Deividas Urbonas 4 10 10 9 2 2 4 1 8 3 10 8 10 9 7 6
Ignas Balčiūnas 3 7 3 3 5 4 2 1 4 5 7 6 1 6 4 8
Simonas Vaičiūnas 4 10 4 1 3 5 7 8 9 6 8 4 1 3 8 3
Aurimas Matulis 4 8 10 6 1 7 5 3 9 3 10 1 10 6 2 2
Dovydas Kazlauskas 1 10 8 9 7 2 3 2 8 1 8 9 2 8 10 9
Gabrielius Matulis 5 9 2 7 9 3 10 7 4 1 6 6 4 7 4 9
Andrius Misevičius 6 10 3 8 4 8 3 2 10 2 5 6 6 1 4 2
Gabrielius Petraitis 6 2 6 1 5 6 3 10 1 2 4 3 8 9 8 5
Ernestas Sabonis 10 2 5 10 3 2 2 10 5 2 3 4 6 10 3 6
Vilius Stankevičius 10 8 9 8 10 9 8 10 8 3 4 5 8 1 10 3
Arvydas Jasinskas 5 5 3 3 7 9 1 10 8 8 7 10 6 6 8 2
Tomas Navickas 1 2 7 6 1 6 5 9 3 6 6 7 10 1 6 6
Justinas Kairys 1 6 3 4 7 8 6 3 1 9 9 5 4 5 7 9
Karolis Jasinskas 8 2 3 10 6 6 9 6 10 10 6 2 7 2 4 2
Ernestas Jankauskas 2 3 6 2 10 8 4 1 5 3 2 5 2 3 8 1
Ignas Vaitkus 5 6 3 8 7 2 5 8 7 8 6 5 3 10 9 4
Laurynas Butkus 1 6 7 8 10 9 3 5 2 2 9 6 10 7 1 10
Tomas Petraitis 6 8 7 9 6 1 10 8 8 5 7 6 5 10 1 3
Vilius Navickas 2 6 6 7 2 9 6 6 8 6 10 6 6 7 2 4
Arnas Kundrotas 3 3 9 2 4 10 3 9 5 4 10 4 3 5 10 6
Lukas Navickas 4 3 9 5 5 7 4 5 10 2 10 7 1 9 6 1
Arnas Rutkauskas 4 7 9 7 1 6 3 6 2 8 4 5 9 4 2 3
Aurimas Balsys 2 7 7 8 7 8 2 7 1 4 10 1 6 8 2 6
Dominykas Norkus 8 6 2 3 2 2 8 7 1 9 6 1 10 6 6 7
Arvydas Paulauskas 8 2 6 8 9 6 10 3 2 9 1 8 2 1 2 4
Dominykas Kairys 7 6 2 7 3 10 6 7 9 3 7 5 6 6 2 8
Dovydas Rutkauskas 1 9 2 4 6 4 9 2 1 10 4 2 6 4 3 1
Aurimas Butkus 8 5 7 2 3 8 1 9 9 9 3 7 4 8 4 4
Justinas Petrauskas 5 1 1 1 10 6 1 9 9 9 2 3 8 1 5 1
Vytautas Zelvys 3 10 8 7 7 4 5 9 4 7 7 6 2 6 10 8
Vytautas Juodka 3 7 8 2 6 3 2 9 3 6 6 3 9 10 7 6
Karolis Bagdonas 9 4 1 9 7 9 5 1 9 9 5 10 5 9 6 7
Eimantas Morkūnas 2 6 3 10 8 10 10 3 7 10 5 9 9 1 8 8
Eimantas Rutkauskas 7 3 8 9 9 3 9 3 7 7 4 9 2 2 10 9
Saulius Butkus 10 3 4 6 10 6 2 7 3 9 8 6 6 9 10 4
Martynas Urbonas 4 4 6 2 1 3 7 1 3 5 4 9 2 1 5 4
Giedrius Rutkauskas 1 6 9 8 4 6 2 9 1 5 10 2 5 1 10 2
Arnas Urbonas 9 4 9 6 3 8 4 6 2 2 9 7 9 9 8 3
Mantas Misevičius 6 7 10 3 5 6 5 5 3 4 5 9 4 9 8 6
Tomas Urbonas 9 9 9 8 3 2 8 2 4 9 2 3 2 10 4 9
Vilius Misevičius 2 8 5 5 4 1 7 1 6 2 7 5 6 9 8 9
Rokas Juodka 4 1 9 9 3 6 3 4 1 2 2 3 10 4 2 10
Simonas Paulauskas 9 6 1 3 10 9 6 9 4 3 3 10 2 3 7 3
Vytautas Sabonis 10 9 8 3 4 2 2 2 10 1 8 9 6 10 1 3
Simonas Butkus 1 9 7 7 5 4 3 5 7 8 10 3 3 5 1 10
Edgaras Sabonis 9 4 5 6 8 9 7 5 1 10 1 1 1 6 5 3
Simonas Petraitis 4 7 9 2 10 7 10 6 9 7 8 10 8 2 1 9
Ernestas Kairys 9 10 4 2 8 9 3 1 5 7 3 7 1 9 4 7
Aurimas Navickas 3 3 5 7 9 8 6 5 5 10 4 6 8 7 1 5
Laurynas Misevičius 5 7 7 10 6 8 9 7 10 3 5 1 6 7 10 9
Rokas Petrauskas 9 8 9 9 2 8 7 9 8 9 8 3 8 6 4 2
Tomas Sakalauskas 8 9 2 8 10 4 3 2 1 2 7 10 9 5 5 5
Aurimas Bagdonas 6 8 7 6 9 5 6 4 3 2 3 9 5 3 5 6
Vytautas Pocius 10 10 8 2 4 10 10 3 8 10 6 1 2 5 4 8
Mantas Jasinskas 1 2 4 9 4 4 6 5 6 7 2 6 3 10 10 2
Ernestas Matulis 2 6 9 1 6 6 6 9 8 2 5 5 10 6 2 1
Arvydas Misevičius 1 4 9 5 6 5 6 1 3 7 1 3 7 2 8 1
Dominykas Rutkauskas 7 1 2 7 10 4 6 1 8 2 6 4 5 5 7 1
Antanas Morkūnas 4 3 6 7 2 5 9 6 8 2 5 3 6 10 9 4
Karolis Sabonis 3 8 3 3 4 10 5 2 3 1 10 8 4 8 5 9
Antanas Bagdonas 5 10 7 9 6 1 4 6 3 3 7 10 6 3 3 8
Saulius Morkūnas 2 3 7 3 6 1 6 10 5 7 7 5 10 4 9 1
Saulius Kairys 9 5 8 3 6 9 5 6 6 3 8 8 8 2 5 8
Lukas Jankauskas 6 6 10 9 5 3 6 10 9 4 1 2 4 8 10 8
Aurimas Matulis 5 5 9 4 8 4 9 3 2 4 1 9 9 2 5 2
Aurimas Morkūnas 10 8 6 1 10 7 3 7 10 10 4 6 4 3 1 8
Dovydas Jankauskas 10 5 2 7 2 6 10 3 1 9 4 8 6 2 10 3
Tomas Šimkus 7 6 4 7 1 8 8 10 3 8 7 1 9 9 5 1
Dominykas Petraitis 1 6 10 3 10 7 6 7 7 10 1 4 8 7 7 7
Laurynas Pocius 8 10 1 1 2 8 2 5 3 5 5 2 3 4 9 7
Vilius Kairys 5 5 9 2 5 4 2 8 2 9 6 1 5 2 7 2
Lukas Balčiūnas 9 1 5 9 5 3 6 3 5 1 1 1 5 5 6 4
Jonas Balčiūnas 7 2 6 3 8 9 5 5 6 1 7 10 1 1 10 10
Paulius Kundrotas 10 8 3 2 9 2 10 8 9 4 1 6 9 5 3 3
Eimantas Butkus 2 6 8 6 10 10 5 4 10 2 9 6 1 3 1 1
Vilius Jasinskas 5 3 4 1 10 7 4 10 3 8 8 3 1 10 5 9
Dovydas Sakalauskas 4 7 5 5 8 6 9 8 6 9 7 7 10 5 6 7
Ernestas Paulauskas 8 3 1 2 3 4 10 1 3 4 9 5 1 1 7 6
Antanas Jasinskas 7 3 8 2 1 8 8 4 8 6 5 8 2 6 4 7
Laurynas Butkus 7 9 2 6 10 8 7 8 6 1 7 8 2 5 4 5
Mantas Petraitis 5 1 6 3 10 7 6 3 6 10 8 9 2 5 5 5
Martynas Rutkauskas 6 9 6 3 2 5 9 1 7 6 8 8 2 7 8 7
Simonas Misevičius 5 3 6 5 4 5 1 3 9 3 8 2 4 5 6 4
Giedrius Jankauskas 1 2 4 2 7 2 3 2 4 5 4 8 7 10 7 5
Arnas Jankauskas 3 7 7 9 3 3 9 8 1 2 2 8 7 5 6 10
Ernestas Vaičiūnas 9 3 7 2 1 9 3 4 9 5 5 6 10 7 7 4
Tomas Petraitis 1 2 4 6 1 3 10 2 1 6 6 1 7 6 10 6
Ernestas Zelvys 10 5 7 4 7 6 6 1 8 10 10 1 6 10 9 8
Andrius Juodka 1 8 3 3 8 6 8 5 2 4 3 1 4 6 4 8
Simonas Jankauskas 4 10 10 4 10 3 2 3 3 7 3 7 9 5 4 1
Gabrielius Jasinskas 6 9 6 4 10 5 10 6 5 5 5 5 4 3 9 9
Karolis Juodka 9 4 8 9 1 1 3 1 6 10 10 3 10 6 9 7
Eimantas Rutkauskas 10 7 8 8 6 1 7 3 3 4 1 2 1 6 1 8
Laurynas Misevičius 1 7 1 8 5 9 6 3 1 10 10 9 5 7 4 10
Mindaugas Petrauskas 9 5 7 2 2 6 1 6 8 3 1 6 3 9 5 1
Ernestas Morkūnas 4 6 4 10 8 1 5 3 9 4 4 4 9 6 4 4
Deividas Stankevičius 6 9 5 3 3 3 5 9 6 8 9 4 2 8 3 8
Eimantas Norkus 7 7 10 3 6 10 7 8 4 9 7 5 3 3 2 10
Arnas Matulis 4 3 6 10 6 7 10 3 4 9 4 5 7 8 1 7
Martynas Sakalauskas 7 9 9 4 6 6 8 5 5 2 7 1 10 4 2 10
Karolis Sabonis 10 4 4 5 6 7 4 9 4 3 4 6 10 10 7 1
Rokas Balčiūnas 5 6 6 1 5 7 1 3 10 4 4 5 10 6 7 9
Vytautas Kairys 3 10 5 5 6 2 1 6 5 1 10 10 1 3 4 10
Ernestas Jankauskas 2 10 4 6 8 10 4 3 9 4 6 9 1 10 2 9
Lukas Vaičiūnas 10 4 8 1 3 1 1 10 8 7 9 9 7 1 9 2
Mindaugas Stankevičius 10 3 4 6 1 4 5 8 9 1 7 2 5 6 5 6
Paulius Petraitis 7 7 9 1 2 6 3 10 1 9 8 5 3 10 7 7
Ernestas Morkūnas 7 2 1 6 2 3 7 10 2 2 9 8 9 4 3 2
Martynas Rutkauskas 10 4 8 2 2 8 10 2 8 9 1 1 4 2 6 7
Antanas Jankauskas 4 8 7 7 1 5 1 1 5 9 4 4 10 3 1 5
Mindaugas Kundrotas 8 7 10 9 6 3 3 5 9 2 6 10 7 6 4 10
Paulius Kairys 10 7 9 8 1 8 9 7 3 6 9 2 3 9 2 3
Vytautas Norkus 5 6 4 4 1 10 4 5 8 2 9 9 7 5 10 8
Deividas Morkūnas 10 1 1 4 2 5 9 4 9 3 6 5 6 10 7 4
Šarūnas Sakalauskas 5 5 1 1 8 5 10 9 4 10 10 3 2 8 4 3
Simonas Morkūnas 5 2 8 4 10 10 1 6 4 7 5 6 10 4 8 2
Edgaras Vaičiūnas 9 2 7 1 9 1 7 3 10 10 4 5 3 9 1 2
Ernestas Pocius 6 3 9 2 9 8 4 8 4 9 2 5 10 4 3 1
Paulius Norkus 3 6 10 4 2 3 4 5 10 3 1 3 5 9 5 7
Vilius Vaičiūnas 4 5 6 2 1 8 7 6 3 8 2 4 2 6 9 1
Saulius Bagdonas 8 5 10 1 7 2 9 5 1 6 10 6 6 10 7 5
Andrius Juodka 2 6 9 8 1 4 10 6 5 9 5 9 6 5 1 5
Dominykas Matulis 4 3 5 10 3 4 1 4 6 4 8 6 8 8 7 7
Dominykas Kairys 3 8 2 4 9 9 10 7 7 1 9 8 4 2 8 3
Gabrielius Sakalauskas 4 2 10 6 6 7 9 5 3 2 10 2 10 7 3 6
Lukas Jankauskas 6 3 2 6 2 3 3 3 2 4 6 3 6 4 6 8
Eimantas Kairys 7 1 2 3 3 7 9 10 7 1 2 1 5 2 3 9
Aurimas Dapkus 1 7 4 8 1 5 3 10 8 1 7 10 2 6 8 3
Arnas Paulauskas 8 8 8 1 5 9 4 8 1 6 2 10 5 5 4 3
Deividas Kundrotas 2 6 2 3 9 2 8 8 4 8 9 1 2 1 9 5
Dovydas Kairys 2 7 1 5 5 7 3 9 3 5 5 10 10 1 1 6
Antanas Vaičiūnas 4 9 2 2 7 7 3 1 5 4 4 9 3 5 10 1
Laurynas Kazlauskas 5 5 2 7 7 2 1 8 6 10 8 1 1 5 7 10
Tomas Pocius 2 1 7 7 1 9 5 4 1 4 8 10 10 3 2 10
Mindaugas Petrauskas 10 5 3 6 10 5 7 5 4 9 4 4 4 2 1 7
Dominykas Rutkauskas 1 8 9 4 2 8 5 9 10 2 4 9 8 4 9 7
Gabrielius Misevičius 10 7 1 8 6 6 1 1 1 7 2 1 9 6 2 10
Laurynas Matulis 9 8 3 4 2 6 5 2 3 8 6 4 9 4 1 8
Ignas Dapkus 2 4 9 1 1 6 8 7 10 10 9 1 3 3 8 5
Martynas Jankauskas 3 9 9 8 3 10 3 5 10 7 7 5 1 1 6 1
Jonas Vaitkus 10 8 6 4 7 4 5 2 7 10 2 6 3 6 7 5
Vilius Bagdonas 7 5 8 3 3 8 6 7 7 6 5 2 10 7 4 8
Mantas Balsys 6 8 8 7 1 2 6 5 8 3 2 6 4 3 3 9
Saulius Žukauskas 3 3 6 3 3 8 9 5 4 10 10 4 4 9 9 5
Deividas Sabonis 8 5 2 4 7 7 2 1 6 2 4 4 5 2 1 10
Simonas Sakalauskas 1 5 7 10 5 4 4 7 2 7 1 10 1 9 2 7
Tomas Kairys 3 2 2 10 6 9 10 8 7 8 4 1 4 3 9 1
Gabrielius Jankauskas 4 6 6 1 10 3 9 4 4 5 3 3 1 8 1 5
Simonas Petraitis 1 1 3 4 10 6 2 4 7 2 9 10 9 7 7 8
Mindaugas Balsys 5 3 7 5 5 1 2 9 2 7 6 3 5 2 6 6
Tomas Rutkauskas 6 6 1 6 7 10 7 7 1 5 2 7 3 1 1 8
Aurimas Bagdonas 3 10 2 6 4 4 10 3 1 5 9 4 8 9 3 1
Giedrius Norkus 4 2 2 10 8 9 8 7 5 8 6 6 6 2 3 6
Aurimas Rutkauskas 1 6 6 4 7 4 2 6 10 7 2 1 8 9 4 3
Jonas Kundrotas 10 5 3 3 6 7 8 5 1 4 5 1 4 2 6 5
Vilius Dapkus 3 1 4 7 9 4 3 6 1 9 7 6 7 2 8 9
Ignas Juodka 8 8 2 1 9 9 9 9 5 8 6 10 1 4 3 10
Arvydas Petrauskas 10 4 6 3 4 6 7 8 9 10 5 5 2 2 1 2
Arvydas Jasinskas 8 3 2 1 3 5 2 1 3 8 5 7 10 2 1 10
Laurynas Navickas 2 4 8 1 7 10 1 1 4 9 3 4 7 7 9 5
Dovydas Balsys 1 5 1 10 3 5 6 3 10 8 1 9 1 7 10 10
Deividas Žukauskas 10 8 6 4 2 9 3 5 7 7 6 7 4 5 6 10
Lukas Zelvys 5 3 7 6 2 2 3 4 3 3 2 7 10 10 7 7
Mantas Balsys 8 2 4 10 10 7 3 10 5 4 2 6 10 10 8 3
Karolis Žukauskas 6 4 2 5 4 3 9 4 3 10 8 9 6 8 9 9
Ignas Balčiūnas 4 2 5 6 1 5 5 2 1 7 9 10 1 2 10 9
Arnas Vaitkus 6 7 10 2 2 1 3 7 4 3 9 10 1 6 7 9
Edgaras Balsys 9 10 8 3 7 8 3 1 3 4 8 6 2 10 2 1
Mantas Balčiūnas 2 2 5 1 10 2 7 6 6 9 4 2 4 9 3 9
Karolis Kazlauskas 5 7 7 4 10 3 7 8 2 2 7 6 2 2 6 10
Edgaras Vaičiūnas 2 5 5 4 10 8 4 6 7 2 5 4 2 1 8 2
Ernestas Butkus 4 1 4 7 9 2 1 3 6 5 1 4 4 9 10 1
Deividas Bagdonas 2 9 6 7 9 9 6 5 1 3 8 10 4 7 10 7
Deividas Juodka 9 10 6 2 8 7 7 4 4 7 9 10 8 3 9 9
Šarūnas Urbonas 9 9 5 1 4 1 10 1 9 9 6 8 4 8 5 7
Šarūnas Paulauskas 8 1 1 10 3 2 1 7 4 2 7 6 10 5 8 8
Aurimas Vaitkus 10 1 4 6 4 9 2 5 7 5 1 3 3 10 3 5
Ignas Bagdonas 10 2 2 9 1 2 10 6 6 2 10 1 9 5 4 3
Edgaras Matulis 2 10 3 8 2 2 6 6 6 7 10 8 7 7 8 10
Antanas Jankauskas 4 10 1 1 8 10 8 2 10 4 6 10 3 1 6 4
Dovydas Kazlauskas 1 9 10 8 7 4 3 4 9 1 7 3 10 6 6 3
Edgaras Vaičiūnas 8 8 5 1 4 8 4 6 5 1 3 10 3 8 7 2
Jonas Vaitkus 7 4 6 2 5 2 9 4 3 5 2 10 3 2 4 6
Arvydas Vaitkus 7 7 8 5 5 9 1 7 3 1 3 9 3 8 1 9
Ignas Balčiūnas 7 7 2 3 9 8 8 7 2 7 3 8 4 5 8 4
Antanas Sakalauskas 6 4 7 3 3 5 4 8 1 7 9 4 10 10 2 5
Justinas Dapkus 10 9 4 5 6 6 8 7 3 1 4 6 7 2 8 7
Rokas Paulauskas 7 10 10 2 6 6 5 1 4 1 2 8 1 4 7 1
Edgaras Balčiūnas 5 4 10 7 10 10 9 7 5 1 9 4 8 3 4 1
Dovydas Urbonas 2 2 10 7 3 2 1 3 10 1 6 3 5 8 6 6
Vytautas Bagdonas 7 4 6 8 2 2 5 9 10 1 9 5 4 9 2 3
Mantas Petrauskas 6 8 2 5 3 3 4 2 3 5 7 10 3 9 8 3
Aurimas Šimkus 7 9 1 5 3 5 9 4 7 5 1 10 10 1 9 9
Antanas Stankevičius 8 9 6 6 5 5 2 8 1 1 7 3 4 8 6 5
Arnas Pocius 6 4 8 5 4 10 7 10 8 7 2 8 6 6 6 3
Karolis Zelvys 3 1 3 8 7 6 6 1 5 5 7 1 5 1 4 1
Deividas Zelvys 5 7 10 9 10 8 6 5 4 6 3 4 5 4 4 6
Vytautas Vaitkus 8 5 5 2 6 6 1 2 10 10 2 4 2 2 2 4
Martynas Juodka 10 3 1 6 7 9 4 4 9 2 7 10 6 3 1 7
Vytautas Kundrotas 9 8 4 10 1 5 5 6 6 2 1 3 8 3 3 5
Rokas Bagdonas 2 2 10 4 8 7 7 9 3 1 10 6 8 2 3 2
Ignas Balčiūnas 8 2 5 6 4 2 5 10 10 7 5 10 3 2 1 2
Deividas Morkūnas 1 6 10 6 9 2 4 5 10 4 2 7 1 9 3 6
Mindaugas Butkus 6 2 6 1 4 4 5 1 4 4 5 7 7 6 8 5
Saulius Šimkus 5 9 1 3 9 6 6 9 3 3 9 3 5 10 8 7
Eimantas Norkus 5 6 9 4 6 4 3 3 9 7 9 4 6 3 7 7
Ignas Vaičiūnas 3 7 2 6 9 2 8 8 10 8 1 2 2 8 2 2
Edgaras Šimkus 10 8 4 8 4 5 10 10 3 2 3 8 5 7 1 2
Mindaugas Navickas 8 4 2 9 10 2 4 6 9 4 3 3 5 7 10 7
Arnas Žukauskas 5 4 3 2 4 5 2 9 3 4 4 6 6 2 9 10
Saulius Sabonis 5 6 2 5 9 7 6 3 9 6 8 9 4 8 5 10
Simonas Sakalauskas 1 3 8 8 1 3 10 9 6 7 7 3 6 10 10 1
Karolis Matulis 9 7 6 6 9 7 5 10 7 1 1 7 7 9 3 1
Martynas Žukauskas 2 8 6 3 8 7 3 9 1 9 1 1 10 4 5 9
Gabrielius Matulis 5 3 7 8 9 1 4 3 5 5 6 6 3 3 1 8
Tomas Žukauskas 1 10 4 5 8 7 2 1 10 4 10 4 10 1 7 9
Giedrius Balsys 5 6 4 9 9 10 3 1 6 3 10 1 8 8 5 1
Jonas Sabonis 5 1 9 4 2 7 9 4 6 4 4 5 6 8 10 7
Tomas Jasinskas 1 2 7 2 8 10 1 6 8 7 5 9 3 9 2 4
Justinas Sakalauskas 1 1 7 4 6 7 10 6 10 7 6 10 9 1 3 6
Mindaugas Vaičiūnas 4 4 2 7 2 6 5 6 8 1 8 10 3 3 5 8
Vytautas Juodka 3 10 6 7 10 6 6 5 1 2 1 7 10 1 9 4
Dovydas Paulauskas 2 4 1 9 3 5 1 9 6 1 10 10 5 4 6 1
Arnas Zelvys 3 9 8 6 2 8 4 6 3 5 6 6 7 2 5 5
Martynas Juodka 4 7 1 4 6 10 1 1 5 10 1 6 1 6 6 5
Šarūnas Kazlauskas 4 3 8 2 4 8 2 5 10 1 8 5 10 10 3 3
Giedrius Balčiūnas 4 2 9 7 4 7 2 7 5 4 6 7 7 3 4 9
Arnas Dapkus 8 9 1 4 9 1 3 4 6 5 10 3 3 2 5 9
Paulius Kairys 4 6 5 4 9 2 1 7 1 10 8 9 7 5 7 3
Ernestas Petraitis 3 6 10 8 7 6 5 1 9 10 9 10 1 3 4 1
Vilius Vaičiūnas 4 6 7 8 1 9 2 10 2 6 2 6 3 6 9 7
Vilius Dapkus 9 7 3 9 4 10 1 8 4 10 8 5 9 5 5 9
Dominykas Petrauskas 6 9 4 3 8 10 3 5 3 2 10 3 1 9 5 1
Martynas Jasinskas 1 4 2 6 10 1 7 9 9 10 5 1 2 10 4 4
Dominykas Zelvys 8 3 3 10 1 1 3 4 7 10 5 1 2 5 5 6
Lukas Kazlauskas 3 4 4 5 9 1 2 9 4 10 10 8 10 8 3 6
Vytautas Butkus 4 9 5 10 8 7 7 10 5 10 10 1 4 2 5 8
Ernestas Žukauskas 2 1 5 4 3 3 9 3 10 3 1 1 4 3 7 7
Saulius Sakalauskas 1 9 8 7 4 6 4 7 6 2 10 4 2 3 2 2
Karolis Sakalauskas 9 4 4 2 2 3 3 2 9 2 6 6 5 8 10 7
Ignas Zelvys 7 7 10 7 8 10 9 9 9 10 5 2 3 4 6 6
Dominykas Kundrotas 1 1 7 2 1 2 4 8 8 1 8 2 9 10 8 6
Mantas Zelvys 5 10 3 2 3 3 1 9 8 7 6 1 2 8 3 10
Vytautas Morkūnas 10 5 3 7 3 2 3 6 5 1 8 7 5 10 5 7
Ernestas Dapkus 3 5 9 9 4 3 10 8 9 7 10 1 4 4 9 7
Vilius Jasinskas 2 6 4 10 1 6 4 5 6 4 3 6 4 1 5 7
Vilius Paulauskas 4 1 9 4 2 7 6 6 4 2 6 8 5 2 5 9
Antanas Navickas 10 7 6 7 3 5 5 1 1 7 8 6 7 3 9 1
Antanas Norkus 6 2 5 2 2 7 6 9 6 5 10 6 1 4 1 9
Justinas Pocius 3 3 2 10 4 9 6 2 1 5 9 10 7 1 2 8
Andrius Misevičius 6 3 7 5 1 4 1 2 3 5 9 9 8 3 3 7
Dominykas Žukauskas 2 4 10 4 8 1 9 2 6 3 10 3 4 4 7 6
Arvydas Zelvys 2 3 3 9 5 3 6 4 5 1 10 10 5 7 7 7
Antanas Bagdonas 2 2 4 6 1 4 6 7 3 5 9 10 10 4 1 2
Giedrius Bagdonas 3 10 1 8 1 9 6 2 5 4 10 9 9 5 3 6
Laurynas Urbonas 3 6 4 6 4 2 3 2 5 3 7 3 4 3 9 1
Antanas Petraitis 8 6 3 8 1 8 10 10 8 2 3 8 3 2 7 10
Saulius Rutkauskas 2 7 8 3 9 1 6 9 9 2 9 9 4 6 10 7
Vytautas Rutkauskas 7 2 7 2 6 1 5 2 10 5 7 9 4 8 1 2
Deividas Kairys 6 7 5 4 9 3 7 10 5 7 5 7 6 4 10 8
Tomas Petraitis 9 2 8 6 5 6 5 2 5 5 6 9 2 7 2 7
Antanas Dapkus 9 6 7 3 9 6 1 9 9 7 3 2 4 3 2 3
Saulius Sabonis 7 9 1 4 9 10 2 9 6 4 8 4 6 6 6 8
Lukas Bagdonas 10 8 9 7 2 8 8 10 2 7 9 6 7 2 6 10
Martynas Pocius 2 8 5 4 10 3 4 9 2 7 5 3 2 3 8 1
Giedrius Pocius 6 8 7 7 4 4 5 7 9 7 9 7 3 10 6 9
Laurynas Butkus 6 8 3 8 10 9 10 5 1 6 8 4 5 10 5 10
Dovydas Zelvys 8 1 9 5 3 4 5 7 6 1 10 8 7 2 2 5
Simonas Sakalauskas 9 9 1 1 4 2 9 3 10 5 7 6 6 2 7 10
Ignas Jasinskas 2 5 1 4 1 7 9 8 1 1 10 8 10 9 1 5
Ernestas Žukauskas 5 4 5 4 4 1 2 5 6 4 1 7 10 5 4 7
Šarūnas Žukauskas 7 7 4 4 7 2 7 4 9 1 5 9 4 5 9 1
Arnas Jankauskas 7 2 9 3 7 8 1 1 2 1 1 2 4 2 6 3
Saulius Petraitis 5 6 7 4 7 4 10 10 7 7 6 2 4 3 7 10
Lukas Pocius 4 9 8 3 1 2 4 2 6 8 4 4 10 10 3 4
Ernestas Paulauskas 2 10 3 4 6 7 1 8 6 3 9 9 10 4 1 6
Mindaugas Juodka 2 10 3 8 7 10 7 4 1 3 8 10 9 2 1 3
Tomas Norkus 4 9 6 10 1 1 2 7 9 4 6 5 10 4 2 3
Lukas Juodka 9 6 5 5 7 3 2 2 6 4 10 9 7 3 2 10
Andrius Petrauskas 10 6 4 3 2 3 10 5 7 9 7 5 1 10 10 9
Vilius Paulauskas 9 7 7 1 5 4 3 2 5 1 2 9 6 4 3 10
Jonas Kundrotas 5 2 3 1 5 10 1 10 2 5 5 1 7 10 1 6
Dovydas Sabonis 5 9 1 10 9 4 2 4 2 4 2 7 7 6 10 6
Saulius Vaitkus 6 9 10 6 7 10 2 2 10 5 1 5 2 4 4 8
